product_id,sale_date,sales_rep,region,sales_amount,quantity_sold,product_category,unit_cost,unit_price,customer_type,discount,payment_method,sales_channel,region_and_sales_rep
1052,03-02-2023,bob,north,5053.97,18,furniture,152.75,267.22,returning,0.09,cash,online,north-bob
1093,21-04-2023,bob,west,4384.02,17,furniture,3816.39,4209.44,returning,0.11,cash,retail,west-bob
1015,21-09-2023,david,south,4631.23,30,food,261.56,371.4,returning,0.2,bank transfer,retail,south-david
1072,24-08-2023,bob,south,2167.94,39,clothing,4330.03,4467.75,new,0.02,credit card,retail,south-bob
1061,24-03-2023,charlie,east,3750.2,13,electronics,637.37,692.71,new,0.08,credit card,online,east-charlie
1021,11-02-2023,charlie,west,3761.15,32,food,900.79,1106.51,new,0.21,cash,online,west-charlie
1083,11-04-2023,bob,west,618.31,29,furniture,2408.81,2624.09,returning,0.14,cash,online,west-bob
1087,06-01-2023,eve,south,7698.92,46,furniture,3702.51,3964.65,new,0.12,bank transfer,online,south-eve
1075,29-06-2023,david,south,4223.39,30,furniture,738.06,1095.45,new,0.05,bank transfer,online,south-david
1075,09-10-2023,charlie,west,8239.58,18,clothing,2228.35,2682.34,new,0.13,bank transfer,online,west-charlie
1088,16-11-2023,eve,north,8518.45,13,furniture,2440.11,2517.6,new,0.23,bank transfer,retail,north-eve
1100,14-08-2023,bob,west,2198.74,43,food,1100.81,1137.44,returning,0.08,bank transfer,online,west-bob
1024,11-11-2023,eve,west,6607.8,21,food,622.01,641.09,returning,0,bank transfer,retail,west-eve
1003,31-12-2023,alice,south,4775.59,30,furniture,4190.28,4270.65,new,0.2,cash,online,south-alice
1022,17-08-2023,charlie,south,8813.55,21,food,2537.2,2869.6,new,0.29,bank transfer,retail,south-charlie
1053,16-10-2023,bob,north,2235.83,48,furniture,121.19,487.65,new,0.18,cash,retail,north-bob
1002,30-05-2023,david,north,6810.35,17,furniture,4024.76,4420.15,returning,0.04,cash,online,north-david
1088,04-10-2023,bob,east,6116.75,40,electronics,4904.93,5034.35,new,0.1,credit card,retail,east-bob
1030,17-07-2023,david,west,3023.48,19,clothing,3049.33,3209.22,returning,0.26,cash,online,west-david
1038,11-03-2023,bob,south,1452.35,15,clothing,2543.36,2790.1,returning,0.07,cash,online,south-bob
1002,22-04-2023,eve,north,6551.23,9,electronics,4398.16,4439.12,new,0.18,bank transfer,online,north-eve
1064,04-01-2023,eve,east,7412.11,10,electronics,4764.96,5074.42,new,0.12,cash,online,east-eve
1060,16-12-2023,eve,east,3224.71,44,clothing,3784.96,4276.99,new,0.06,bank transfer,retail,east-eve
1021,27-11-2023,alice,south,6483.84,31,furniture,2254.99,2441.79,returning,0.24,bank transfer,online,south-alice
1033,14-11-2023,david,south,4011.8,23,furniture,2981.5,3360.4,returning,0.22,bank transfer,retail,south-david
1076,16-12-2023,eve,east,7160.75,30,clothing,3519.63,3774.65,new,0.2,credit card,retail,east-eve
1058,05-04-2023,alice,north,2072.23,33,furniture,1011.65,1084.28,returning,0.07,bank transfer,retail,north-alice
1022,01-06-2023,david,east,8913.13,9,electronics,2263.65,2558.95,new,0.03,cash,online,east-david
1089,07-11-2023,bob,west,2945.36,47,furniture,4157.62,4314.56,new,0.17,bank transfer,retail,west-bob
1049,17-05-2023,alice,west,3741.08,1,furniture,3290.89,3317.75,returning,0.17,bank transfer,online,west-alice
1091,04-09-2023,charlie,south,675.11,44,food,2085.46,2406.58,returning,0.06,bank transfer,retail,south-charlie
1059,31-08-2023,alice,north,1203.97,35,food,3333.64,3764.52,returning,0.02,credit card,online,north-alice
1042,31-01-2023,alice,north,5207.03,11,food,635.2,814.14,returning,0.02,cash,online,north-alice
1092,09-02-2023,david,west,2749.17,34,furniture,2037.41,2238.65,new,0.3,credit card,online,west-david
1060,17-08-2023,bob,east,8371.25,16,clothing,3975.99,4422.59,new,0.24,cash,online,east-bob
1080,05-02-2023,charlie,south,245.46,9,electronics,1141.52,1550.19,new,0.28,credit card,retail,south-charlie
1015,11-08-2023,eve,east,3853.03,32,furniture,970.51,1330.84,returning,0.06,cash,retail,east-eve
1062,06-01-2023,eve,east,3439.72,15,clothing,4756.55,4888.46,new,0.29,credit card,online,east-eve
